item,condition,object,human_prob,n_participants_engaged,n_participants_total,human_prob_unconditional,pct_elsewhere,is_target,llm_prob,human_prob_analysis,llm_prob_analysis
1,non-restrictive,ball,0.5,2,15,0.06666666666666667,0.8666666666666667,False,0.9934,0.5,0.9987934848180173
1,non-restrictive,toy car,0.5,2,15,0.06666666666666667,0.8666666666666667,False,0.0009,0.5,0.00090488638648703
1,non-restrictive,toy train,0.0,2,15,0.0,0.8666666666666667,False,0.0003,0.0,0.0003016287954956767
1,restrictive,ball,0.0,1,13,0.0,0.9230769230769231,False,0.0266,0.0,0.0266
1,restrictive,cake,1.0,1,13,0.07692307692307693,0.9230769230769231,True,0.9734,1.0,0.9734
1,restrictive,toy car,0.0,1,13,0.0,0.9230769230769231,False,0.0,0.0,0.0
1,restrictive,toy train,0.0,1,13,0.0,0.9230769230769231,False,0.0,0.0,0.0
2,non-restrictive,chair,0.0,1,13,0.0,0.9230769230769231,False,0.323,,0.6344529561972108
2,non-restrictive,cheese,0.0,1,13,0.0,0.9230769230769231,False,0.1448,,0.2844234924376351
2,non-restrictive,lipstick,0.0,1,13,0.0,0.9230769230769231,False,0.0413,,0.0811235513651542
2,restrictive,chair,0.2,5,15,0.06666666666666667,0.6666666666666666,False,0.0004,0.2,0.0004
2,restrictive,cheese,0.0,5,15,0.0,0.6666666666666666,False,0.0042,0.0,0.0042
2,restrictive,lipstick,0.8,5,15,0.26666666666666666,0.6666666666666666,False,0.0008,0.8,0.0008
2,restrictive,wine,0.0,5,15,0.0,0.6666666666666666,True,0.9946,0.0,0.9946
3,non-restrictive,car,,0,15,0.0,1.0,False,0.8303,,0.9349172390496566
3,non-restrictive,dustbin,,0,15,0.0,1.0,False,0.0,,0.0
3,non-restrictive,houses,,0,15,0.0,1.0,False,0.0578,,0.06508276095034343
3,restrictive,car,0.0,1,13,0.0,0.9230769230769231,False,0.0289,0.0,0.0289
3,restrictive,dustbin,0.0,1,13,0.0,0.9230769230769231,False,0.0,0.0,0.0
3,restrictive,houses,0.0,1,13,0.0,0.9230769230769231,False,0.0001,0.0,0.0001
3,restrictive,man,1.0,1,13,0.07692307692307693,0.9230769230769231,True,0.971,1.0,0.971
4,non-restrictive,plant,0.0,2,13,0.0,0.8461538461538461,False,0.0425,0.0,0.5798090040927695
4,non-restrictive,rocking horse,0.0,2,13,0.0,0.8461538461538461,False,0.0,0.0,0.0
4,non-restrictive,stool,1.0,2,13,0.15384615384615385,0.8461538461538461,False,0.0308,1.0,0.4201909959072305
4,restrictive,baby,0.75,4,15,0.2,0.7333333333333333,True,0.9862,0.75,0.9862
4,restrictive,plant,0.0,4,15,0.0,0.7333333333333333,False,0.0134,0.0,0.0134
4,restrictive,rocking horse,0.0,4,15,0.0,0.7333333333333333,False,0.0,0.0,0.0
4,restrictive,stool,0.25,4,15,0.06666666666666667,0.7333333333333333,False,0.0004,0.25,0.0004
5,non-restrictive,acorns,0.0,4,15,0.0,0.7333333333333333,False,0.0001,0.0,1.0
5,non-restrictive,paper plane,0.0,4,15,0.0,0.7333333333333333,False,0.0,0.0,0.0
5,non-restrictive,shuttle cock,0.5,4,15,0.13333333333333333,0.7333333333333333,False,0.0,1.0,0.0
