id,image_nosub,image_sub,position1,position2,position3,position4,audio_file,sentence,condition,target_position,timeout
0,1_pos2_nosub.png,1_pos2_sub.png,ball,cake,toy-car,toy-train,0_n.wav,The boy will move the cake,non-restrictive,2,3000
1,2_pos3_nosub.png,2_pos3_sub.png,chair,lipstick,wine,cheese,1_r.wav,The woman will drink the wine,restrictive,3,3000
2,3_pos4_nosub.png,3_pos4_sub.png,car,houses,dustbin,man,2_n.wav,The policeman will search the man,non-restrictive,4,3000
3,4_pos1_nosub.png,4_pos1_sub.png,baby,plant,stool,rocking-horse,3_r.wav,The woman will bathe the baby,restrictive,1,3000
4,5_pos2_nosub.png,5_pos2_sub.png,shuttle-cock,ball,paper-plane,acorns,4_n.wav,The boy will throw the ball,non-restrictive,2,3000
5,6_pos3_nosub.png,6_pos3_sub.png,cactus,moon,mountain,animal,5_r.wav,The hiker will climb the mountain,restrictive,3,3000
6,7_pos4_nosub.png,7_pos4_sub.png,knife,weighing-scales,jug,mushrooms,6_n.wav,The housewife will  wash the mushrooms,non-restrictive,4,3000
7,8_pos1_nosub.png,8_pos1_sub.png,child,tv-monitor,toy-bear,microscope,7_r.wav,The doctor will inject the child,restrictive,1,3000
8,9_pos2_nosub.png,9_pos2_sub.png,television,piano,table,telephone,8_n.wav,The woman will dust the piano,non-restrictive,2,3000
9,10_pos3_nosub.png,10_pos3_sub.png,cup,bag,book,door,9_r.wav,The woman will read the book,restrictive,3,3000
10,11_pos4_nosub.png,11_pos4_sub.png,mirror,dog,wastebin,washing-machine,10_n.wav,The man will wipe the washing machine,non-restrictive,4,3000
11,12_pos1_nosub.png,12_pos1_sub.png,bell,drum,duck,bricks,11_r.wav,The baby will ring the bell,restrictive,1,3000
12,13_pos2_nosub.png,13_pos2_sub.png,car,boat,birds,sun,12_n.wav,The man will watch the boat,non-restrictive,2,3000
13,14_pos3_nosub.png,14_pos3_sub.png,briefcase,glasses,cigarettes,filofax,13_r.wav,The man will smoke the cigarettes,restrictive,3,3000
