id,image_nosub,image_sub,position1,position2,position3,position4,audio_file,sentence,condition,target_position,timeout
0,1_pos1_nosub.png,1_pos1_sub.png,cake,toy-car,toy-train,ball,0_n.wav,The boy will move the cake,non-restrictive,1,3000
1,2_pos2_nosub.png,2_pos2_sub.png,lipstick,wine,cheese,chair,1_r.wav,The woman will drink the wine,restrictive,2,3000
2,3_pos3_nosub.png,3_pos3_sub.png,houses,dustbin,man,car,2_n.wav,The policeman will search the man,non-restrictive,3,3000
3,4_pos4_nosub.png,4_pos4_sub.png,plant,stool,rocking-horse,baby,3_r.wav,The woman will bathe the baby,restrictive,4,3000
4,5_pos1_nosub.png,5_pos1_sub.png,ball,paper-plane,acorns,shuttle-cock,4_n.wav,The boy will throw the ball,non-restrictive,1,3000
5,6_pos2_nosub.png,6_pos2_sub.png,moon,mountain,animal,cactus,5_r.wav,The hiker will climb the mountain,restrictive,2,3000
6,7_pos3_nosub.png,7_pos3_sub.png,weighing-scales,jug,mushrooms,knife,6_n.wav,The housewife will  wash the mushrooms,non-restrictive,3,3000
7,8_pos4_nosub.png,8_pos4_sub.png,tv-monitor,toy-bear,microscope,child,7_r.wav,The doctor will inject the child,restrictive,4,3000
8,9_pos1_nosub.png,9_pos1_sub.png,piano,table,telephone,television,8_n.wav,The woman will dust the piano,non-restrictive,1,3000
9,10_pos2_nosub.png,10_pos2_sub.png,bag,book,door,cup,9_r.wav,The woman will read the book,restrictive,2,3000
10,11_pos3_nosub.png,11_pos3_sub.png,dog,wastebin,washing-machine,mirror,10_n.wav,The man will wipe the washing machine,non-restrictive,3,3000
11,12_pos4_nosub.png,12_pos4_sub.png,drum,duck,bricks,bell,11_r.wav,The baby will ring the bell,restrictive,4,3000
12,13_pos1_nosub.png,13_pos1_sub.png,boat,birds,sun,car,12_n.wav,The man will watch the boat,non-restrictive,1,3000
13,14_pos2_nosub.png,14_pos2_sub.png,glasses,cigarettes,filofax,briefcase,13_r.wav,The man will smoke the cigarettes,restrictive,2,3000
14,15_pos3_nosub.png,15_pos3_sub.png,ball,hen,dog,bird,14_n.wav,The boy will feed the dog,non-restrictive,3,3000
15,16_pos4_nosub.png,16_pos4_sub.png,wallet,magnifying-glass,folder,hat,15_r.wav,The businessman will wear the hat,restrictive,4,3000
16,17_pos1_nosub.png,17_pos1_sub.png,dress,lantern,backpack,ribbon,16_n.wav,The woman will  carry the dress,non-restrictive,1,3000
17,18_pos2_nosub.png,18_pos2_sub.png,rope,wood,bucket,stone,17_r.wav,The man will chop the wood,restrictive,2,3000
18,19_pos3_nosub.png,19_pos3_sub.png,feather,leaf,football,stick,18_n.wav,The boy will touch the football,non-restrictive,3,3000
19,20_pos4_nosub.png,20_pos4_sub.png,spoon,spatula,bowl,bread,19_r.wav,The chef will slice the bread,restrictive,4,3000
20,21_pos1_nosub.png,21_pos1_sub.png,kitten,block,crayon,cup,20_n.wav,The baby will grab the kitten,non-restrictive,1,3000
21,22_pos2_nosub.png,22_pos2_sub.png,cushion,flower,magazine,vase,21_r.wav,The woman will water the flower,restrictive,2,3000
22,23_pos3_nosub.png,23_pos3_sub.png,poster,towel,coat,hook,22_n.wav,The girl will hang the coat,non-restrictive,3,3000
23,24_pos4_nosub.png,24_pos4_sub.png,pencil,needle,card,scarf,23_r.wav,The girl will knit the scarf,restrictive,4,3000
24,25_pos1_nosub.png,25_pos1_sub.png,rabbit,plate,potato,glass,24_n.wav,The girl will lift the rabbit,non-restrictive,1,3000
25,26_pos2_nosub.png,26_pos2_sub.png,rope,canvas,keyboard,peach,25_r.wav,The man will paint the canvas,restrictive,2,3000
26,27_pos3_nosub.png,27_pos3_sub.png,coin,coaster,candle,package,26_n.wav,The woman will blow grab the candle,non-restrictive,3,3000
27,28_pos4_nosub.png,28_pos4_sub.png,switch,frame,picture,lamp,27_r.wav,The boy will dim the lamp,restrictive,4,3000
28,29_pos1_nosub.png,29_pos1_sub.png,milk,glove,nut,sock,28_n.wav,The cat will push the milk,non-restrictive,1,3000
29,30_pos2_nosub.png,30_pos2_sub.png,tissue,newspaper,comb,eraser,29_r.wav,The grandmother will read the newspaper,restrictive,2,3000
30,31_pos3_nosub.png,31_pos3_sub.png,watch,headphones,dice,cap,30_n.wav,The girl will grab the dice,non-restrictive,3,3000
31,32_pos4_nosub.png,32_pos4_sub.png,lemon,sponge,seed,bottle,31_r.wav,The woman will open the bottle,restrictive,4,3000
32,33_pos1_nosub.png,33_pos1_sub.png,beer,mug,biscuit,kettle,32_n.wav,The woman will carry the beer,non-restrictive,1,3000
33,34_pos2_nosub.png,34_pos2_sub.png,gift,suitcase,envelope,box,33_r.wav,The boy will unzip the suitcase,restrictive,2,3000
34,35_pos3_nosub.png,35_pos3_sub.png,notebook,pillow,radio,puzzle,34_n.wav,The boy will move the radio,non-restrictive,3,3000
35,36_pos4_nosub.png,36_pos4_sub.png,brush,mirror,pot,mascara,35_r.wav,The girl will apply the mascara,restrictive,4,3000
36,37_pos1_nosub.png,37_pos1_sub.png,lego,papers,boxes,clips,36_n.wav,The kid will stack the lego,non-restrictive,1,3000
37,38_pos2_nosub.png,38_pos2_sub.png,key,banana,mitten,marker,37_r.wav,The boy will peel the banana,restrictive,2,3000
38,39_pos3_nosub.png,39_pos3_sub.png,broom,cloth,apron,mop,38_n.wav,The woman will carry the apron,non-restrictive,3,3000
39,40_pos4_nosub.png,40_pos4_sub.png,shampoo,mat,buckle,shoelace,39_r.wav,The boy will tie the shoelace,restrictive,4,3000
40,41_pos1_nosub.png,41_pos1_sub.png,blouse,pin,toothbrish,iron,40_n.wav,The girl will hold the blouse,non-restrictive,1,3000
41,42_pos2_nosub.png,42_pos2_sub.png,shell,orange,stone,cone,41_r.wav,The boy will squeeze the orange,restrictive,2,3000
42,43_pos3_nosub.png,43_pos3_sub.png,chalk,ruler,shirt,apple,42_n.wav,The woman will wash the shirt,non-restrictive,3,3000
43,44_pos4_nosub.png,44_pos4_sub.png,pan,bolt,handle,safe,43_r.wav,The man will lock the safe,restrictive,4,3000
44,45_pos1_nosub.png,45_pos1_sub.png,dough,glass,ladle,hammer,44_n.wav,The baker will inspect the dough,non-restrictive,1,3000
45,46_pos2_nosub.png,46_pos2_sub.png,pot,carrot,laddle,peeler,45_r.wav,The chef will grate the carrot,restrictive,2,3000
46,47_pos3_nosub.png,47_pos3_sub.png,gum,stand,violin,bow,46_n.wav,The musician will move the violin,non-restrictive,3,3000
47,48_pos4_nosub.png,48_pos4_sub.png,dustpan,roller,footstool,carpet,47_r.wav,The girl will vacuum the carpet,restrictive,4,3000
48,49_pos1_nosub.png,49_pos1_sub.png,stamp,envelope,rubberband,scissors,48_n.wav,The child will inlatecarry the balloon,non-restrictive,1,3000
49,50_pos2_nosub.png,50_pos2_sub.png,pouch,balloon,pump,flag,49_r.wav,The man will lick the stamp,restrictive,2,3000
