id,image_nosub,image_sub,position1,position2,position3,position4,audio_file,sentence,condition,target_position,timeout
0,1_pos2_nosub.png,1_pos2_sub.png,ball,cake,toy-car,toy-train,0_r.wav,The boy will eat the cake,restrictive,2,3000
1,2_pos3_nosub.png,2_pos3_sub.png,chair,lipstick,wine,cheese,1_n.wav,The woman will try the wine,non-restrictive,3,3000
2,3_pos4_nosub.png,3_pos4_sub.png,car,houses,dustbin,man,2_r.wav,The policeman will arrest the man,restrictive,4,3000
3,4_pos1_nosub.png,4_pos1_sub.png,baby,plant,stool,rocking-horse,3_n.wav,The woman will touch the baby,non-restrictive,1,3000
4,5_pos2_nosub.png,5_pos2_sub.png,shuttle-cock,ball,paper-plane,acorns,4_r.wav,The boy will bounce the ball,restrictive,2,3000
5,6_pos3_nosub.png,6_pos3_sub.png,cactus,moon,mountain,animal,5_n.wav,The hiker will photograph the mountain,non-restrictive,3,3000
6,7_pos4_nosub.png,7_pos4_sub.png,knife,weighing-scales,jug,mushrooms,6_r.wav,The housewife will fry the mushrooms,restrictive,4,3000
7,8_pos1_nosub.png,8_pos1_sub.png,child,tv-monitor,toy-bear,microscope,7_n.wav,The doctor will check the child,non-restrictive,1,3000
8,9_pos2_nosub.png,9_pos2_sub.png,television,piano,table,telephone,8_r.wav,The woman will play the piano,restrictive,2,3000
9,10_pos3_nosub.png,10_pos3_sub.png,cup,bag,book,door,9_n.wav,The woman will open the book,non-restrictive,3,3000
10,11_pos4_nosub.png,11_pos4_sub.png,mirror,dog,wastebin,washing-machine,10_r.wav,The man will repair the washing machine,restrictive,4,3000
11,12_pos1_nosub.png,12_pos1_sub.png,bell,drum,duck,bricks,11_n.wav,The baby will kick the bell,non-restrictive,1,3000
12,13_pos2_nosub.png,13_pos2_sub.png,car,boat,birds,sun,12_r.wav,The man will sail the boat,restrictive,2,3000
13,14_pos3_nosub.png,14_pos3_sub.png,briefcase,glasses,cigarettes,filofax,13_n.wav,The man will  collect the cigarettes,non-restrictive,3,3000
14,15_pos4_nosub.png,15_pos4_sub.png,bird,ball,hen,dog,14_r.wav,The boy will walk the dog,restrictive,4,3000
15,16_pos1_nosub.png,16_pos1_sub.png,hat,wallet,magnifying-glass,folder,15_n.wav,The businessman will  forget the hat,non-restrictive,1,3000
16,17_pos2_nosub.png,17_pos2_sub.png,ribbon,dress,lantern,backpack,16_r.wav,The woman will wear the dress,restrictive,2,3000
17,18_pos3_nosub.png,18_pos3_sub.png,stone,rope,wood,bucket,17_n.wav,The man will  move the wood,non-restrictive,3,3000
18,19_pos4_nosub.png,19_pos4_sub.png,stick,feather,leaf,football,18_r.wav,The boy will kick the football,restrictive,4,3000
19,20_pos1_nosub.png,20_pos1_sub.png,bread,spoon,spatula,bowl,19_n.wav,The chef will clean the bread,non-restrictive,1,3000
20,21_pos2_nosub.png,21_pos2_sub.png,cup,kitten,block,crayon,20_r.wav,The baby will hug the kitten,restrictive,2,3000
21,22_pos3_nosub.png,22_pos3_sub.png,vase,cushion,flower,magazine,21_n.wav,The woman will move the flower,non-restrictive,3,3000
22,23_pos4_nosub.png,23_pos4_sub.png,hook,poster,towel,coat,22_r.wav,The girl will zip the coat,restrictive,4,3000
23,24_pos1_nosub.png,24_pos1_sub.png,scarf,pencil,needle,card,23_n.wav,The girl will hold the scarf,non-restrictive,1,3000
24,25_pos2_nosub.png,25_pos2_sub.png,glass,rabbit,plate,potato,24_r.wav,The girl will groom the rabbit,restrictive,2,3000
25,26_pos3_nosub.png,26_pos3_sub.png,peach,rope,canvas,keyboard,25_n.wav,The man will move the canvas,non-restrictive,3,3000
26,27_pos4_nosub.png,27_pos4_sub.png,package,coin,coaster,candle,26_r.wav,The woman will blow out the candle,restrictive,4,3000
27,28_pos1_nosub.png,28_pos1_sub.png,lamp,switch,frame,picture,27_n.wav,The boy will touch the lamp,non-restrictive,1,3000
28,29_pos2_nosub.png,29_pos2_sub.png,sock,milk,glove,nut,28_r.wav,The cat will drink the milk,restrictive,2,3000
29,30_pos3_nosub.png,30_pos3_sub.png,eraser,tissue,newspaper,comb,29_n.wav,The grandmother will eadturn the newspaper,non-restrictive,3,3000
30,31_pos4_nosub.png,31_pos4_sub.png,cap,watch,headphones,dice,30_r.wav,The girl will roll the dice,restrictive,4,3000
31,32_pos1_nosub.png,32_pos1_sub.png,bottle,lemon,sponge,seed,31_n.wav,The woman will examine the bottle,non-restrictive,1,3000
32,33_pos2_nosub.png,33_pos2_sub.png,kettle,beer,mug,biscuit,32_r.wav,The woman will brew the beer,restrictive,2,3000
33,34_pos3_nosub.png,34_pos3_sub.png,box,gift,suitcase,envelope,33_n.wav,The boy will open the suitcase,non-restrictive,3,3000
34,35_pos4_nosub.png,35_pos4_sub.png,puzzle,notebook,pillow,radio,34_r.wav,The boy will switch on the radio,restrictive,4,3000
35,36_pos1_nosub.png,36_pos1_sub.png,mascara,brush,mirror,pot,35_n.wav,The girl will squeeze the mascara,non-restrictive,1,3000
36,37_pos2_nosub.png,37_pos2_sub.png,clips,lego,papers,boxes,36_r.wav,The kid will build the lego,restrictive,2,3000
37,38_pos3_nosub.png,38_pos3_sub.png,marker,key,banana,mitten,37_n.wav,The boy will move the banana,non-restrictive,3,3000
38,39_pos4_nosub.png,39_pos4_sub.png,mop,broom,cloth,apron,38_r.wav,The woman will tie the apron,restrictive,4,3000
39,40_pos1_nosub.png,40_pos1_sub.png,shoelace,shampoo,mat,buckle,39_n.wav,The boy will move the shoelace,non-restrictive,1,3000
40,41_pos2_nosub.png,41_pos2_sub.png,iron,blouse,pin,toothbrish,40_r.wav,The girl will button the blouse,restrictive,2,3000
41,42_pos3_nosub.png,42_pos3_sub.png,cone,shell,orange,stone,41_n.wav,The boy will move the orange,non-restrictive,3,3000
42,43_pos4_nosub.png,43_pos4_sub.png,apple,chalk,ruler,shirt,42_r.wav,The woman will sew the shirt,restrictive,4,3000
43,44_pos1_nosub.png,44_pos1_sub.png,safe,pan,bolt,handle,43_n.wav,The man will wipe the safe,non-restrictive,1,3000
44,45_pos2_nosub.png,45_pos2_sub.png,hammer,dough,glass,ladle,44_r.wav,The baker will knead the dough,restrictive,2,3000
45,46_pos3_nosub.png,46_pos3_sub.png,peeler,pot,carrot,laddle,45_n.wav,The chef will carry the carrot,non-restrictive,3,3000
46,47_pos4_nosub.png,47_pos4_sub.png,bow,gum,stand,violin,46_r.wav,The musician will tune the violin,restrictive,4,3000
47,48_pos1_nosub.png,48_pos1_sub.png,carpet,dustpan,roller,footstool,47_n.wav,The girl will move the carpet,non-restrictive,1,3000
48,49_pos2_nosub.png,49_pos2_sub.png,pouch,balloon,pump,flag,48_r.wav,The child will inflate the balloon,restrictive,2,3000
49,50_pos3_nosub.png,50_pos3_sub.png,rubberband,scissors,stamp,envelope,49_n.wav,The man will pick up the stamp,non-restrictive,3,3000
